N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8187553075336649,0.763386071962572,0.7681661811321859,0.17004773269689738,0.48602796775623613,0.23967407353837186
model_2,500,2,1,0.8171782118160864,0.742054534641245,0.771719342623159,0.20883054892601433,0.3494316098831213,0.2585870813054491
model_3,500,3,1,0.819483197864855,0.7428738778958127,0.76832500754206,0.17959427207637232,0.37369248048035075,0.2362784988082149
model_4,500,1,2,0.8490840713332525,0.8099686971161673,0.8177937959217545,0.33770883054892603,0.5732502854289365,0.4104066597188188
model_5,500,2,2,0.8681305349993934,0.8516993959633016,0.8442103383715411,0.4116945107398568,0.7272765792382738,0.5029795692887296
model_6,500,3,2,0.8692223704961786,0.8566086384072154,0.8513348401009273,0.47195704057279236,0.6794942165274546,0.5237215199104919
model_7,800,1,2,0.8621860972946742,0.8453732065657559,0.8392949236610124,0.4063245823389022,0.6862723137447722,0.484059167229162
model_8,800,2,2,0.8808686157952201,0.8706024586969577,0.8677140930794975,0.522673031026253,0.7164951825495761,0.5841792931997065
model_9,800,3,2,0.884629382506369,0.8779169953480868,0.8699360076871653,0.5173031026252983,0.770575899533621,0.5937325611512089
