N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8786849448016499,0.8593716954608043,0.8594845512939995,0.4522673031026253,0.7145311266928259,0.5451057653209037
Model2,500,2,1,0.8834162319543856,0.866007226475079,0.8668488513504986,0.4922434367541766,0.7172909511889913,0.572621632636771
Model3,500,3,1,0.8481135508916656,0.8275597223431052,0.8272314762730367,0.4152744630071599,0.4808865144743921,0.3978132288549836
Model4,500,1,2,0.9086497634356424,0.8932130594941464,0.8967626719658917,0.5912887828162291,0.7573071752102604,0.6576904019572686
Model5,500,2,2,0.9253912410530146,0.9207824296091444,0.919860588880482,0.681980906921241,0.8630507576759134,0.759402749451446
Model6,500,3,2,0.9183549678515104,0.9165833747897326,0.9139804928498709,0.6581145584725537,0.8393422267655493,0.73396663543796
Model7,800,1,2,0.9108334344292127,0.9032616878500239,0.8990333845821186,0.5889021479713604,0.8361281665469249,0.6784961370909143
Model8,800,2,2,0.9286667475433701,0.9247484043946645,0.9238515743363902,0.701073985680191,0.8710604606430907,0.7743948236303755
Model9,800,3,2,0.9284241174329735,0.9251213751769841,0.922894833799419,0.6921241050119332,0.8782798498046419,0.7688438607530581
